category,inventory_level,category_avg_price,optimal_price
watches_gifts,6,164.88000698708737,149.0
garden_tools,20,80.09469912275,97.58823529
garden_tools,6,80.09469912275,98.32333333
health_beauty,3,132.30986998661538,58.99
computers_accessories,11,119.48232289202898,79.8
health_beauty,16,132.30986998661538,19.99
perfumery,8,89.34881257692308,117.975
bed_bath_table,17,78.62927803639344,86.9
garden_tools,1,80.09469912275,101.0
watches_gifts,21,164.88000698708737,105.6428571
bed_bath_table,19,78.62927803639344,45.9
furniture_decor,3,60.154262474583334,103.2333333
watches_gifts,11,164.88000698708737,145.5509091
computers_accessories,13,119.48232289202898,80.66666667
garden_tools,1,80.09469912275,99.99
computers_accessories,1,119.48232289202898,109.9
computers_accessories,4,119.48232289202898,73.0
watches_gifts,3,164.88000698708737,78.0
watches_gifts,5,164.88000698708737,157.99
cool_stuff,2,107.85751177614034,129.99
bed_bath_table,22,78.62927803639344,89.9
watches_gifts,1,164.88000698708737,339.9
watches_gifts,1,164.88000698708737,78.0
watches_gifts,10,164.88000698708737,160.4
watches_gifts,3,164.88000698708737,255.61
health_beauty,13,132.30986998661538,29.9
computers_accessories,23,119.48232289202898,149.99
bed_bath_table,23,78.62927803639344,89.9
computers_accessories,1,119.48232289202898,79.9
bed_bath_table,17,78.62927803639344,86.9
computers_accessories,15,119.48232289202898,178.0571429
perfumery,8,89.34881257692308,49.99
cool_stuff,3,107.85751177614034,99.99
watches_gifts,5,164.88000698708737,347.0
computers_accessories,22,119.48232289202898,150.3545455
garden_tools,7,80.09469912275,139.0
garden_tools,3,80.09469912275,59.9
bed_bath_table,6,78.62927803639344,39.99
health_beauty,23,132.30986998661538,119.99
garden_tools,9,80.09469912275,54.45
watches_gifts,11,164.88000698708737,204.6181818
furniture_decor,65,60.154262474583334,69.9
health_beauty,10,132.30986998661538,352.25
health_beauty,7,132.30986998661538,349.9
furniture_decor,2,60.154262474583334,38.4
garden_tools,69,80.09469912275,53.78571429
garden_tools,7,80.09469912275,102.5
garden_tools,1,80.09469912275,59.9
garden_tools,1,80.09469912275,59.9
health_beauty,3,132.30986998661538,23.99
garden_tools,36,80.09469912275,50.9
garden_tools,5,80.09469912275,99.99
computers_accessories,17,119.48232289202898,154.6958824
health_beauty,27,132.30986998661538,23.99
bed_bath_table,13,78.62927803639344,39.99
consoles_games,17,27.03376623363636,24.5
garden_tools,5,80.09469912275,99.99
garden_tools,13,80.09469912275,175.1538462
garden_tools,19,80.09469912275,59.9
health_beauty,4,132.30986998661538,349.9
health_beauty,6,132.30986998661538,325.0
watches_gifts,9,164.88000698708737,119.0
health_beauty,19,132.30986998661538,58.99
computers_accessories,35,119.48232289202898,149.9
garden_tools,14,80.09469912275,120.0
garden_tools,1,80.09469912275,99.99
cool_stuff,11,107.85751177614034,173.8081818
garden_tools,14,80.09469912275,89.99
health_beauty,11,132.30986998661538,58.99
bed_bath_table,52,78.62927803639344,199.5098039
cool_stuff,27,107.85751177614034,157.3603704
garden_tools,14,80.09469912275,99.0
bed_bath_table,8,78.62927803639344,39.24
watches_gifts,16,164.88000698708737,167.5
perfumery,1,89.34881257692308,142.5
garden_tools,8,80.09469912275,49.9
bed_bath_table,7,78.62927803639344,47.9
perfumery,17,89.34881257692308,116.9066667
watches_gifts,31,164.88000698708737,117.4412903
garden_tools,23,80.09469912275,59.9
perfumery,11,89.34881257692308,117.8888889
consoles_games,28,27.03376623363636,21.54285714
bed_bath_table,32,78.62927803639344,44.15444444
watches_gifts,8,164.88000698708737,216.15
bed_bath_table,18,78.62927803639344,39.99
garden_tools,9,80.09469912275,99.0
perfumery,2,89.34881257692308,142.5
watches_gifts,9,164.88000698708737,123.9666667
garden_tools,1,80.09469912275,49.9
bed_bath_table,29,78.62927803639344,45.9
computers_accessories,4,119.48232289202898,98.9
cool_stuff,6,107.85751177614034,169.99
computers_accessories,4,119.48232289202898,98.9
bed_bath_table,7,78.62927803639344,99.0
computers_accessories,3,119.48232289202898,159.99
computers_accessories,6,119.48232289202898,98.9
garden_tools,6,80.09469912275,49.91
garden_tools,51,80.09469912275,55.1
computers_accessories,1,119.48232289202898,98.9
